Year,Fibreboard,Paper and paperboard,Sawnwood,Wood fuel,Wood pulp
1961,4674500,77075896,323575399,1498738466,61548400
1962,5013100,80388600,326104720,1491096482,63696800
1963,5432100,85274024,335095362,1501308865,68525400
1964,6084200,91045000,354361463,1513488178,73567000
1965,6367600,96525604,358376265,1514171639,77557400
1966,12354182,103843296,359031622,1526347281,82857600
1967,12454868,105022896,363784349,1528549182,84815800
1968,13630150,113115596,374854643,1530931056,91640700
1969,14269317,122071408,384830378,1528621592,97909800
1970,14021865,125583135,389090528,1542387501,101649500
1971,15417259,127507010,401472202,1550398053,101373200
1972,16419693,136674800,404787077,1564222347,107172600
1973,17409867,147362100,413430143,1565001717,113399600
1974,16477139,149506908,398128315,1584875554,116651400
1975,15744448,127027725,381849452,1591627605,101784073
1976,17579459,146298208,406905862,1614684617,111034200
1977,17800701,151146000,417002963,1622780443,112525800
1978,17992001,158933700,426150225,1632902929,118226300
1979,18179201,167801808,428491374,1662009854,123148100
1980,16961401,169316596,420867512,1682302640,125679208
1981,16517101,169118143,402783969,1704050800,125363516
1982,14484801,166246512,394435693,1744685315,119535708
1983,16491527,176427087,417295813,1746986309,127076708
1984,16926727,189058265,426163218,1767329663,135077808
1985,18052727,192052055,432774687,1771469304,134318500
1986,19380827,202361443,447353843,1780537886,140146008
1987,19619477,213700010,465614781,1775438121,146496116
1988,20281627,226589428,470499077,1792454281,151444908
1989,20792227,232199918,469481122,1801563455,156083100
1990,20215127,239353243,463008817,1833083000,154798200
1991,19973527,243079992,418240068,1869868731,155178233
1992,18276400,246614955,403259529,1841461249,152845822
1993,19258400,252361075,394458052,1809956198,151208675
1994,19950500,268784434,395896837,1802119716,161910768
1995,20398900,282291193,390752421,1809403744,161571317
1996,21533940,284372382,386742898,1796500652,156441635
1997,24825666,301359552,393750973,1816477564,162503657
1998,27805723,301935942,378443601,1810515711,159756665
1999,30688182,315936525,388836580,1815006045,163433779
2000,34140738,324585533,385242891,1795244627,171114970
2001,35628645,318933710,379433546,1802548663,163993414
2002,41100479,329812012,392430390,1820643807,167163548
2003,47950757,338876765,399690000,1831834645,169908698
2004,56133349,355776669,425294462,1836154971,174648265
2005,62034710,365187599,437813366,1825331097,173849097
2006,69081806,382051380,446142633,1834805586,175614862
2007,73111809,392110718,434362500,1841194068,180969754
2008,71954917,389718257,386902119,1848396612,177284468
2009,77401262,370601060,344337595,1840208705,160349084
2010,87668285,392442311,375631667,1864002026,172441720
2011,95884155,400120126,388699552,1870970098,174756182
2012,105504160,399138519,404811164,1887396983,172177669
2013,113251885,396872104,421364114,1897823383,173230663
2014,116170327,404092316,435366614,1900374577,176930031
2015,118595362,406930884,448062243,1901265439,177654267
2016,121227015,409283537,481779343,1927783200,182301128
2017,118626167,415196477,501648693,1931111419,184319925
2018,118173591,408439167,508031629,1945449851,192514967
2019,122457147,404191451,504631796,1942007516,190361233
2020,121837126,400377707,485385603,1928001955,187091527
2021,126463505,417301010,494467630,1948184684,189321938
